"HolderAddress","Balance","PendingBalanceUpdate"
"0x37d8d0ebbe86e2ffbc261eb543465a3d318c0737","392.999999999","No"
"0xdea81d85cfde99515bcf20e00c246501d40a786b","383","No"
"0xbf761eefa3a4ea0ebf4b3b670d8be627825e30b1","375","No"
"0xbd916d5b81d5f1f7a949a779b9bc28fa84a92891","367.851746283","No"
"0x7fff28e9d730d330c893b0a695e5b8a38e6e2552","365","No"
"0x1a1b4091e2f401b7ae0968c184b10e00e454e7a9","349.765668428","No"
"0xa94704ba13f36a376f32216b9875a87c38f1e6a1","348.963712421","No"
"0xaf1c9ba782389774d0f8c013861dd7916bdef2df","340.684824737","No"
"0x56356e0ad2988565e5906d8630ba05c3ebf813ac","308.452415849","No"
"0x28915a33562b58500cf8b5b682c89a3396b8af76","300","No"
"0x6a6c63dc87432c5cfb029c3f3b49faad7f40ac92","300","No"
"0xa95cf61e6812e44dfe9e7a7dbd0fbdd1fa444354","300","No"
"0x08e86214a3241377c84f54e4dca946eea5b45662","299","No"
"0x7ca6fecc6ce4572e8b8ccfc05e4c2edadc6827d4","285","No"
"0x9214231f48d358e47e97ae7513972eccf9086695","283","No"
"0xb1247a10cc92eae9bd3e86aa89e836fc3864edcd","282.039426755","No"
"0x231b291e5db86ee0f6604c3605ca2b1870d301d5","276.259805016","No"
"0x53ac4a3c538369c77402a46723daa74fb2077524","275","No"
"0x6c7f4b173fd9f28ab775ff149e218076c0d4918c","270","No"
"0x0d19faa463e859fe02d04d2f5c9f19fa5de2a90c","268","No"
"0x64688d6dc7f4504e5c42fcb32af845b0a4756bc5","264","No"
"0xb2acd87513f2c20261bafccd0f53421ed9180cbb","259.03878266","No"
"0xea7a0b5d7bc7a06486e95315de035567acedc6f4","248","No"
"0xb285b90ed9880c8ffeab219d275d73f2efdd6f02","214","No"
"0x95ddb69c6a27a3a18729116e0f28eb216b674baf","207","No"
"0x7cd9722b26d1edb71489143fbbaf057437e86e68","203","No"
"0x7ac6c1c04ed054254c2bc64942cf1a29b87e63d2","201","No"
"0x76ad6a7121e99c7cfb18586222b0b014b16f7cf0","200","No"
"0xdaebeeef5a8e57a4890dc82c2b12c901444efd4e","200","No"
"0x33cb75e910b962df0cce43d35896475bda52ff25","197.772261439","No"
"0x443f3ddd0613c34f0ad10a32d3953b95639a04f5","196","No"
"0x944b45c28366c484ef761957a73f8f34f93b3b3d","196","No"
"0xa8933117c42c60fe840f06695e834d45a00bf189","190","No"
"0xbaf2baf5ab0dc7be4f8aabc1d23f55b0af366f49","188","No"
"0x6b0412857a727fa692a550cb26ffab43caa76710","181","No"
"0xd917f2acbbc81af9cbd10fd6f85974110ff17bf9","173","No"
"0x3974351a2de62821c61e8126a0a93ebed135880b","166","No"
"0x6715b234af5724444e44006e403dd0805c1dd55b","163","No"
"0x1eb049e211cf5d513a95000c74e68dcd42c4450c","151.44884878","No"
"0xf88e376732036fb09cf2e9bd9628d5091cf704c7","149","No"
"0x622d21493990d8e28df032653768fc90edaf4681","148.034449689","No"
"0x9f05449a4eeb592a52d70f5652ac5bd348b54b4e","139.745349557","No"
"0x35ac3ac4f2213a404705311a1ac799dab7cd568a","134.809162897","No"
"0x4d7af44cb569b03fe84c319e19eeb6ffd634ed43","133","No"
"0xcc1906fe4381513975f2de4c013eaf5023cacf6b","131","No"
"0x0f744eb4f48b394774d4cc340974472f84c9662d","122","No"
"0xfa2841df32700492d88effa83edcd920d91e1561","113.855715614","No"
"0x19b856106ad1c7e818ca5ffe9855d3cc2b6dd968","113","No"
"0x8aebc80604f58baa5d9165b3af22c0f5e3f8f5a6","107","No"
